file,lines,status,category,reason,source
.coveragerc,13,supporting,misc,No specific rule matched; defaulting to supporting.,default
.emergent/emergent.yml,5,supporting,misc,No specific rule matched; defaulting to supporting.,default
.emergent/summary.txt,70,supporting,misc,No specific rule matched; defaulting to supporting.,default
.env.example,16,supporting,misc,No specific rule matched; defaulting to supporting.,default
.gitconfig,3,supporting,misc,No specific rule matched; defaulting to supporting.,default
.github/workflows/ci.yml,44,supporting,misc,No specific rule matched; defaulting to supporting.,default
.gitignore,91,supporting,misc,No specific rule matched; defaulting to supporting.,default
.pre-commit-config.yaml,17,supporting,misc,No specific rule matched; defaulting to supporting.,default
.secrets.baseline,143,supporting,misc,No specific rule matched; defaulting to supporting.,default
ARCHITECTURE.md,25,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
BACKLOG.csv,5,supporting,misc,No specific rule matched; defaulting to supporting.,default
CONTRIBUTING.md,71,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
HANDBOOK.md,54,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
Makefile,70,needed,tooling,Tooling required to execute workflows and pipelines.,heuristic
ONBOARDING.md,60,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
README.md,417,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
ROADMAP.md,16,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
analysis/DATA_CONTROL_FLOWS.md,40,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/FILE_SUMMARIES.csv,162,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/OPTIMIZATIONS.md,12,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/TRACEABILITY.csv,8,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/file_usage_report.md,19,not_needed,generated-inventory,Generated markdown summary; regenerate with the inventory script when required.,override
analysis/file_usage_summary.csv,525,not_needed,generated-inventory,CSV export produced by the inventory script; not required for runtime.,override
analysis/file_usage_totals.json,16,not_needed,generated-inventory,Totals JSON generated by the inventory script for reporting convenience.,override
apps/api/FOLDER_README.md,23,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
apps/api/__init__.py,11,needed,core,Core product implementation files.,heuristic
apps/api/app.py,493,needed,core,Core product implementation files.,heuristic
apps/api/normalizers.py,731,needed,core,Core product implementation files.,heuristic
apps/api/pipeline.py,684,needed,core,Core product implementation files.,heuristic
apps/api/requirements-optional.txt,7,needed,core,Core product implementation files.,heuristic
apps/api/requirements.txt,22,needed,core,Core product implementation files.,heuristic
audit/CTEM_ASSESSMENT.md,56,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
audit/GAPS.md,39,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
audit/SECURITY.md,45,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
backend/__init__.py,5,needed,core,Core product implementation files.,heuristic
backend/app.py,3,needed,core,Core product implementation files.,heuristic
backend/normalizers.py,3,needed,core,Core product implementation files.,heuristic
backend/pipeline.py,3,needed,core,Core product implementation files.,heuristic
backend_test.py,1606,supporting,misc,No specific rule matched; defaulting to supporting.,default
config/FOLDER_README.md,15,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
config/fixops.overlay.yml,774,supporting,misc,No specific rule matched; defaulting to supporting.,default
core/FOLDER_README.md,20,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
core/__init__.py,4,needed,core,Core product implementation files.,heuristic
core/ai_agents.py,225,needed,core,Core product implementation files.,heuristic
core/analytics.py,650,needed,core,Core product implementation files.,heuristic
core/cli.py,604,needed,core,Core product implementation files.,heuristic
core/compliance.py,92,needed,core,Core product implementation files.,heuristic
core/configuration.py,1421,needed,core,Core product implementation files.,heuristic
core/connectors.py,301,needed,core,Core product implementation files.,heuristic
core/context_engine.py,249,needed,core,Core product implementation files.,heuristic
core/demo_runner.py,191,needed,core,Core product implementation files.,heuristic
core/design_context_injector.py,273,needed,core,Core product implementation files.,heuristic
core/evidence.py,196,needed,core,Core product implementation files.,heuristic
core/exploit_signals.py,580,needed,core,Core product implementation files.,heuristic
core/feature_matrix.py,276,needed,core,Core product implementation files.,heuristic
core/feedback.py,227,needed,core,Core product implementation files.,heuristic
core/iac.py,172,needed,core,Core product implementation files.,heuristic
core/modules.py,120,needed,core,Core product implementation files.,heuristic
core/onboarding.py,46,needed,core,Core product implementation files.,heuristic
core/paths.py,98,needed,core,Core product implementation files.,heuristic
core/performance.py,126,needed,core,Core product implementation files.,heuristic
core/policy.py,147,needed,core,Core product implementation files.,heuristic
core/probabilistic.py,455,needed,core,Core product implementation files.,heuristic
core/ssdlc.py,385,needed,core,Core product implementation files.,heuristic
core/storage.py,98,needed,core,Core product implementation files.,heuristic
core/tenancy.py,139,needed,core,Core product implementation files.,heuristic
create_minimal_tables.py,148,supporting,misc,No specific rule matched; defaulting to supporting.,default
create_tables.py,44,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/FOLDER_README.md,17,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
data/feeds/FOLDER_README.md,14,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
data/feeds/epss.json,615,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/feeds/golden_regression_cases.json,152,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/feeds/kev.json,21124,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/marketplace/FOLDER_README.md,10,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
data/marketplace/items.json,88,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/marketplace/purchases.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/019605ec-b76e-46b9-b6e2-2cf2679ca918/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/36a7f793-29a1-4f4f-8727-be9aea67ccce/0.part,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/36a7f793-29a1-4f4f-8727-be9aea67ccce/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/36a7f793-29a1-4f4f-8727-be9aea67ccce/sample.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/5f3792c1-212c-46c7-88d5-e7251e6c35bf/0.part,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/5f3792c1-212c-46c7-88d5-e7251e6c35bf/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/5f3792c1-212c-46c7-88d5-e7251e6c35bf/sample.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/6c94680a-4934-447c-91bf-22ac1356a9e7/0.part,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/6c94680a-4934-447c-91bf-22ac1356a9e7/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/6c94680a-4934-447c-91bf-22ac1356a9e7/sample.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/8a0d27bb-75b6-4a9a-9eff-8f1e96c7b7be/0.part,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/8a0d27bb-75b6-4a9a-9eff-8f1e96c7b7be/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/8a0d27bb-75b6-4a9a-9eff-8f1e96c7b7be/sample.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/FOLDER_README.md,12,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
data/uploads/fad6ec4f-2ab1-4b4a-ac6e-50f0c41cc5ca/0.part,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/fad6ec4f-2ab1-4b4a-ac6e-50f0c41cc5ca/meta.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/fad6ec4f-2ab1-4b4a-ac6e-50f0c41cc5ca/sample.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/upload_1759388274014/metadata.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/upload_1759388360124/metadata.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
data/uploads/upload_1759389506663/metadata.json,1,supporting,misc,No specific rule matched; defaulting to supporting.,default
demo/fixtures/sample.cve.json,20,not_needed,demo-fixture,Sample/demo data for simulations; omit in production deployments.,heuristic
demo/fixtures/sample.design.csv,3,not_needed,demo-fixture,Sample/demo data for simulations; omit in production deployments.,heuristic
demo/fixtures/sample.sarif.json,42,not_needed,demo-fixture,Sample/demo data for simulations; omit in production deployments.,heuristic
demo/fixtures/sample.sbom.json,22,not_needed,demo-fixture,Sample/demo data for simulations; omit in production deployments.,heuristic
docs/ACADEMIC_RESEARCH.md,85,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/AI_AGENTS_RESEARCH.md,105,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/ARCHITECTURE.md,70,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/BACKLOG.csv,16,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/CLOSED_LOOP_OPTIMIZATION.md,31,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/CODE_GAP_ASSESSMENT.md,20,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/CONFIG_GUIDE.md,512,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/CONTRIBUTING.md,87,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/DATA_MODEL.md,97,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/FIXOPS_ADOPTION_GUIDE.md,98,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/FOLDER_README.md,15,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/FixOps_Demo_IO_Contract.md,45,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/INTEGRATIONS.md,51,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/LINE_BY_LINE.md,80,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/MIGRATION.md,49,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/OBSERVABILITY.md,39,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/PLATFORM_RUNBOOK.md,267,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/PR_CHECKLIST.md,12,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/PR_SUMMARY.md,47,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/ROADMAP.md,17,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/SDLC_SSDLC.md,36,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/SECURITY.md,42,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/SSDL_SIMULATION.md,61,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/STRAIKER_APR2025_COMPETITIVE_NOTES.md,31,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/USAGE_GUIDE.html,414,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment.md,33,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment/epss_kev_runbook.md,35,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment/fixops-observability-dashboard.json,292,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment/part-1-implemented.md,9,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment/part-2-completed.md,51,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/decisionfactory_alignment/part-3-completed.md,73,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
docs/security_sales_objections.md,47,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/.env.example,8,needed,core,Core product implementation files.,heuristic
enterprise/BANK_DEPLOYMENT_GUIDE.md,389,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/COMPLETE_DATA_FLOW.md,218,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/COMPREHENSIVE_GUIDE.md,1093,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/Dockerfile,68,needed,core,Core product implementation files.,heuristic
enterprise/ENHANCED_VERSION.md,145,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/ENTERPRISE_DEPLOYMENT_GUIDE.md,175,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/FOLDER_README.md,10,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/PRODUCTION_DEPLOYMENT.md,134,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/README_BANK_DEPLOYMENT.md,150,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/RESEARCH_ROADMAP.md,239,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/alembic.ini,106,needed,core,Core product implementation files.,heuristic
enterprise/backstage/app-config.yaml,1,needed,core,Core product implementation files.,heuristic
enterprise/backstage/catalog-info.yaml,171,needed,core,Core product implementation files.,heuristic
enterprise/backstage/plugins/fixops-overview-card.tsx,140,needed,core,Core product implementation files.,heuristic
enterprise/backstage/template.yaml,580,needed,core,Core product implementation files.,heuristic
enterprise/backstage/terraform-deployment-template.yaml,231,needed,core,Core product implementation files.,heuristic
enterprise/create_admin_user.py,72,needed,core,Core product implementation files.,heuristic
enterprise/create_all_tables.py,56,needed,core,Core product implementation files.,heuristic
enterprise/data/golden_regression_cases.json,49,needed,core,Core product implementation files.,heuristic
enterprise/deploy-bank.sh,151,needed,core,Core product implementation files.,heuristic
enterprise/deploy-complete.sh,223,needed,core,Core product implementation files.,heuristic
enterprise/deploy-production.sh,187,needed,core,Core product implementation files.,heuristic
enterprise/docker-compose.yml,88,needed,core,Core product implementation files.,heuristic
enterprise/docs/ARCHITECTURE.md,157,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/ENTERPRISE_AUDIT_REPORT.md,132,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/FIXOPS_SUGGESTIONS_SUMMARY.md,29,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/INSTALL.md,142,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/MARKETPLACE_GUIDE.md,39,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/REQUIREMENTS.md,48,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/REQUIREMENTS_COMPREHENSIVE.md,247,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/ROADMAP.md,18,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/SSVC.md,35,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/docs/index.md,107,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/fixops_enterprise.db,495,needed,core,Core product implementation files.,heuristic
enterprise/frontend/Dockerfile,82,needed,core,Core product implementation files.,heuristic
enterprise/frontend/index.html,47,needed,core,Core product implementation files.,heuristic
enterprise/frontend/package.json,46,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/App.jsx,28,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/components/Layout.jsx,250,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/components/LoadingSpinner.jsx,30,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/components/ModeToggle.jsx,136,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/components/SecurityLayout.jsx,357,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/components/Tooltip.jsx,42,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/contexts/AuthContext.jsx,258,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/index.css,351,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/main.jsx,58,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/ArchitectDashboard.jsx,566,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/ArchitectureCenter.jsx,561,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/ArchitecturePage.jsx,165,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/CISODashboard.jsx,422,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/CommandCenter.jsx,613,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/DeveloperDashboard.jsx,636,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/DeveloperOps.jsx,446,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/EnhancedDashboard.jsx,942,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/ExecutiveBriefing.jsx,570,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/pages/InstallPage.jsx,161,needed,core,Core product implementation files.,heuristic
enterprise/frontend/src/utils/api.js,178,needed,core,Core product implementation files.,heuristic
enterprise/frontend/tailwind.config.js,98,needed,core,Core product implementation files.,heuristic
enterprise/frontend/vite.config.js,59,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/backend-deployment.yaml,101,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/configmap.yaml,35,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/frontend-deployment.yaml,56,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/ingress.yaml,56,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/namespace.yaml,8,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/pvc.yaml,20,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/rbac.yaml,39,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/secret.yaml,16,needed,core,Core product implementation files.,heuristic
enterprise/kubernetes/services.yaml,56,needed,core,Core product implementation files.,heuristic
enterprise/policies/sbom.rego,19,needed,core,Core product implementation files.,heuristic
enterprise/policies/vulnerability.rego,22,needed,core,Core product implementation files.,heuristic
enterprise/postman/FixOps-Bank-API-Collection.json,555,needed,core,Core product implementation files.,heuristic
enterprise/postman/FixOps-Bank-Development.postman_environment.json,37,needed,core,Core product implementation files.,heuristic
enterprise/postman/FixOps-Bank-Production.postman_environment.json,51,needed,core,Core product implementation files.,heuristic
enterprise/postman/FixOps-CICD-Tests.postman_collection.json,300,needed,core,Core product implementation files.,heuristic
enterprise/postman/FixOps-Performance-Tests.postman_collection.json,88,needed,core,Core product implementation files.,heuristic
enterprise/postman/POSTMAN_COMPLETION.md,70,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/postman/README.md,126,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
enterprise/postman/sample-data/sample-sarif.json,79,needed,core,Core product implementation files.,heuristic
enterprise/postman/sample-data/sample-sbom.json,75,needed,core,Core product implementation files.,heuristic
enterprise/postman/workspace.json,86,needed,core,Core product implementation files.,heuristic
enterprise/quick_start.py,92,needed,core,Core product implementation files.,heuristic
enterprise/requirements.txt,245,needed,core,Core product implementation files.,heuristic
enterprise/run_enterprise.py,208,needed,core,Core product implementation files.,heuristic
enterprise/scripts/run_migrations.py,54,needed,core,Core product implementation files.,heuristic
enterprise/scripts/run_real_cve_playbook.py,79,needed,core,Core product implementation files.,heuristic
enterprise/scripts/seed_demo_data.py,157,needed,core,Core product implementation files.,heuristic
enterprise/server.py,13,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/business_context.py,141,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/business_context_enhanced.py,211,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/cicd.py,372,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/decisions.py,319,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/docs.py,36,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/enhanced.py,205,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/evidence.py,43,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/feeds.py,71,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/marketplace.py,260,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/monitoring.py,50,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/oss_tools.py,183,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/policy.py,585,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/processing_layer.py,414,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/production_readiness.py,172,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/sample_data_demo.py,707,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/scans.py,380,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/system.py,34,needed,core,Core product implementation files.,heuristic
enterprise/src/api/v1/system_mode.py,182,needed,core,Core product implementation files.,heuristic
enterprise/src/cli/main.py,796,needed,core,Core product implementation files.,heuristic
enterprise/src/config/settings.py,246,needed,core,Core product implementation files.,heuristic
enterprise/src/core/exceptions.py,403,needed,core,Core product implementation files.,heuristic
enterprise/src/core/middleware.py,340,needed,core,Core product implementation files.,heuristic
enterprise/src/core/security.py,402,needed,core,Core product implementation files.,heuristic
enterprise/src/db/migrations/__init__.py,1,needed,core,Core product implementation files.,heuristic
enterprise/src/db/migrations/env.py,81,needed,core,Core product implementation files.,heuristic
enterprise/src/db/migrations/versions/001_initial_schema.py,128,needed,core,Core product implementation files.,heuristic
enterprise/src/db/migrations/versions/002_add_kev_waivers.py,57,needed,core,Core product implementation files.,heuristic
enterprise/src/db/session.py,147,needed,core,Core product implementation files.,heuristic
enterprise/src/main.py,294,needed,core,Core product implementation files.,heuristic
enterprise/src/models/__init__.py,11,needed,core,Core product implementation files.,heuristic
enterprise/src/models/base.py,163,needed,core,Core product implementation files.,heuristic
enterprise/src/models/base_sqlite.py,162,needed,core,Core product implementation files.,heuristic
enterprise/src/models/security.py,396,needed,core,Core product implementation files.,heuristic
enterprise/src/models/security_sqlite.py,481,needed,core,Core product implementation files.,heuristic
enterprise/src/models/user.py,394,needed,core,Core product implementation files.,heuristic
enterprise/src/models/user_sqlite.py,442,needed,core,Core product implementation files.,heuristic
enterprise/src/models/waivers.py,38,needed,core,Core product implementation files.,heuristic
enterprise/src/schemas/user.py,253,needed,core,Core product implementation files.,heuristic
enterprise/src/services/advanced_llm_engine.py,298,needed,core,Core product implementation files.,heuristic
enterprise/src/services/business_context_processor.py,504,needed,core,Core product implementation files.,heuristic
enterprise/src/services/cache_service.py,450,needed,core,Core product implementation files.,heuristic
enterprise/src/services/chatgpt_client.py,171,needed,core,Core product implementation files.,heuristic
enterprise/src/services/compliance_engine.py,118,needed,core,Core product implementation files.,heuristic
enterprise/src/services/correlation_engine.py,609,needed,core,Core product implementation files.,heuristic
enterprise/src/services/decision_engine.py,1533,needed,core,Core product implementation files.,heuristic
enterprise/src/services/enhanced_decision_engine.py,554,needed,core,Core product implementation files.,heuristic
