path,sloc,language,role
apps/api/__init__.py,7,Python,Support
apps/api/app.py,449,Python,API
apps/api/normalizers.py,630,Python,Parsing
apps/api/pipeline.py,617,Python,Correlation
core/__init__.py,3,Python,Support
core/ai_agents.py,199,Python,Support
core/analytics.py,579,Python,Support
core/cli.py,543,Python,Support
core/compliance.py,84,Python,Support
core/configuration.py,1305,Python,Config
core/connectors.py,249,Python,Support
core/context_engine.py,222,Python,Support
core/demo_runner.py,163,Python,Support
core/design_context_injector.py,229,Python,SSVC
core/evidence.py,170,Python,Support
core/exploit_signals.py,512,Python,Support
core/feature_matrix.py,226,Python,Support
core/feedback.py,203,Python,Support
core/iac.py,156,Python,Support
core/modules.py,106,Python,Support
core/onboarding.py,37,Python,Support
core/paths.py,77,Python,Support
core/performance.py,108,Python,Support
core/policy.py,132,Python,Support
core/probabilistic.py,413,Python,Support
core/ssdlc.py,353,Python,Support
core/storage.py,81,Python,Support
core/tenancy.py,122,Python,Support
enterprise/create_admin_user.py,54,Python,Support
enterprise/create_all_tables.py,40,Python,Support
enterprise/quick_start.py,67,Python,Support
enterprise/run_enterprise.py,155,Python,Support
enterprise/scripts/run_migrations.py,40,Python,Support
enterprise/scripts/run_real_cve_playbook.py,60,Python,Support
enterprise/scripts/seed_demo_data.py,130,Python,Support
enterprise/server.py,8,Python,Support
enterprise/src/api/v1/business_context.py,116,Python,Support
enterprise/src/api/v1/business_context_enhanced.py,192,Python,Support
enterprise/src/api/v1/cicd.py,280,Python,Support
enterprise/src/api/v1/decisions.py,266,Python,Support
enterprise/src/api/v1/docs.py,33,Python,Support
enterprise/src/api/v1/enhanced.py,177,Python,Support
enterprise/src/api/v1/evidence.py,32,Python,Support
enterprise/src/api/v1/feeds.py,65,Python,Support
enterprise/src/api/v1/marketplace.py,238,Python,Support
enterprise/src/api/v1/monitoring.py,39,Python,Support
enterprise/src/api/v1/oss_tools.py,161,Python,Support
enterprise/src/api/v1/policy.py,474,Python,Support
enterprise/src/api/v1/processing_layer.py,368,Python,Support
enterprise/src/api/v1/production_readiness.py,146,Python,Support
enterprise/src/api/v1/sample_data_demo.py,622,Python,Support
enterprise/src/api/v1/scans.py,315,Python,Support
enterprise/src/api/v1/system.py,31,Python,Support
enterprise/src/api/v1/system_mode.py,154,Python,Support
enterprise/src/cli/main.py,611,Python,Support
enterprise/src/config/settings.py,184,Python,Support
enterprise/src/core/exceptions.py,319,Python,Support
enterprise/src/core/middleware.py,260,Python,Support
enterprise/src/core/security.py,309,Python,Support
enterprise/src/db/migrations/__init__.py,0,Python,Support
enterprise/src/db/migrations/env.py,60,Python,Support
enterprise/src/db/migrations/versions/001_initial_schema.py,115,Python,Support
enterprise/src/db/migrations/versions/002_add_kev_waivers.py,48,Python,Support
enterprise/src/db/session.py,115,Python,Support
enterprise/src/main.py,227,Python,Support
enterprise/src/models/__init__.py,9,Python,Support
enterprise/src/models/base.py,121,Python,Support
enterprise/src/models/base_sqlite.py,120,Python,Support
enterprise/src/models/security.py,237,Python,Support
enterprise/src/models/security_sqlite.py,312,Python,Support
enterprise/src/models/user.py,305,Python,Support
enterprise/src/models/user_sqlite.py,348,Python,Support
enterprise/src/models/waivers.py,27,Python,Support
enterprise/src/schemas/user.py,191,Python,Support
enterprise/src/services/advanced_llm_engine.py,238,Python,Support
enterprise/src/services/business_context_processor.py,411,Python,Support
enterprise/src/services/cache_service.py,349,Python,Support
enterprise/src/services/chatgpt_client.py,136,Python,Support
enterprise/src/services/compliance_engine.py,95,Python,Support
enterprise/src/services/correlation_engine.py,475,Python,Support
enterprise/src/services/decision_engine.py,1243,Python,Support
enterprise/src/services/enhanced_decision_engine.py,444,Python,Support
enterprise/src/services/evidence_export.py,95,Python,Support
enterprise/src/services/evidence_lake.py,158,Python,Support
enterprise/src/services/explainability.py,84,Python,Support
enterprise/src/services/feeds_service.py,184,Python,Support
enterprise/src/services/fix_engine.py,83,Python,Support
enterprise/src/services/golden_regression_store.py,398,Python,Support
enterprise/src/services/knowledge_graph.py,676,Python,Support
enterprise/src/services/llm_explanation_engine.py,422,Python,Support
enterprise/src/services/marketplace.py,485,Python,Support
enterprise/src/services/metrics.py,267,Python,Support
enterprise/src/services/missing_oss_integrations.py,958,Python,Support
enterprise/src/services/oss_integrations.py,280,Python,Support
enterprise/src/services/policy_engine.py,447,Python,Support
enterprise/src/services/processing_layer.py,685,Python,Support
enterprise/src/services/real_opa_engine.py,359,Python,Support
enterprise/src/services/risk_scorer.py,116,Python,Support
enterprise/src/services/rl_controller.py,89,Python,Support
enterprise/src/services/sbom_parser.py,45,Python,Support
enterprise/src/services/vector_store.py,326,Python,Support
enterprise/src/services/vex_ingestion.py,231,Python,Support
enterprise/src/utils/crypto.py,754,Python,Support
enterprise/src/utils/logger.py,212,Python,Support
enterprise/structlog/__init__.py,27,Python,Support
enterprise/structlog/processors.py,35,Python,Support
enterprise/structlog/stdlib.py,28,Python,Support
prototypes/decider/__init__.py,0,Python,Support
prototypes/decider/api.py,62,Python,Decision API
prototypes/decider/processing/__init__.py,20,Python,Support
prototypes/decider/processing/bayesian.py,346,Python,Support
prototypes/decider/processing/explanation.py,163,Python,Support
prototypes/decider/processing/knowledge_graph.py,199,Python,Support
prototypes/decider/processing/sarif.py,195,Python,Support
scripts/generate_analysis.py,200,Python,Support
scripts/generate_index.py,155,Python,Support
scripts/run_real_cve_playbook.py,96,Python,Support
tests/__init__.py,0,Python,Support
tests/conftest.py,10,Python,Support
tests/sample_modules.py,6,Python,Support
tests/test_ai_agents.py,36,Python,Support
tests/test_analytics_store.py,65,Python,Support
tests/test_backend_security.py,20,Python,Support
tests/test_cicd_signature.py,77,Python,Support
tests/test_cli.py,211,Python,Support
tests/test_compliance.py,10,Python,Support
tests/test_cors_jwt.py,21,Python,Support
tests/test_crypto_signing.py,53,Python,Support
tests/test_cve_simulation.py,121,Python,Support
tests/test_demo_runner.py,18,Python,Support
tests/test_design_context_injector.py,58,Python,Support
tests/test_end_to_end.py,481,Python,Support
tests/test_enterprise_compliance.py,16,Python,Support
tests/test_evidence.py,43,Python,Support
tests/test_evidence_export.py,34,Python,Support
tests/test_evidence_retrieval_fastpath.py,41,Python,Support
tests/test_explainability_service.py,15,Python,Support
tests/test_exploit_refresh.py,13,Python,Support
tests/test_exploit_signals.py,116,Python,Support
tests/test_feature_matrix.py,223,Python,Support
tests/test_feedback.py,93,Python,Support
tests/test_feeds_enrichment.py,64,Python,Support
tests/test_golden_regression.py,142,Python,Support
tests/test_golden_regression_store.py,99,Python,Support
tests/test_http_metrics.py,72,Python,Support
tests/test_key_management.py,193,Python,Support
tests/test_new_backend_api.py,63,Python,Support
tests/test_new_backend_processing.py,185,Python,Support
tests/test_new_modules.py,89,Python,Support
tests/test_normalizers.py,50,Python,Support
tests/test_overlay_configuration.py,244,Python,Support
tests/test_pipeline_integration.py,22,Python,Support
tests/test_pipeline_matching.py,487,Python,Support
tests/test_policy_connectors.py,79,Python,Support
tests/test_policy_kevs.py,80,Python,Support
tests/test_policy_opa.py,57,Python,Support
tests/test_postman_ci_sync.py,22,Python,Support
tests/test_postman_phase_collections.py,105,Python,Support
tests/test_probabilistic.py,71,Python,Support
tests/test_processing_layer_fallbacks.py,43,Python,Support
tests/test_rate_limit.py,25,Python,Support
tests/test_real_opa_engine_factory.py,22,Python,Support
tests/test_risk_adjustment.py,72,Python,Support
tests/test_rl_controller.py,23,Python,Support
tests/test_secure_defaults.py,17,Python,Support
tests/test_ssdlc_runner.py,25,Python,Support
tests/test_storage_security.py,18,Python,Support
tests/test_tenant_rbac.py,14,Python,Support
tests/test_vex_ingestion.py,28,Python,Support
